precision: device_type=cpu requested_dtype=fp32 effective_dtype=float32
Model Params: 63.91M
Trainable Params: 63.912M
packed: /Users/leonskennedy/AI coding open/侧端大模型/lab/data/v3/packed_A n_seq=591462 seq_len=512 tokenizer_sha256=cdd7e5bc16aa5081… doc_order_sha256=7d204f346dc15680…
packed run: total_updates=7339 tokens_per_update=16352 total_tokens_requested=120000000 schedule=wsd
update [100/7339] lr=0.00013699 loss_nats_per_target=7.1518 bpb=2.5374 grad_norm=0.7274 tokens_cum=1635200/120000000
update [200/7339] lr=0.00020000 loss_nats_per_target=6.3387 bpb=2.4390 grad_norm=0.9506 tokens_cum=3270400/120000000
update [300/7339] lr=0.00020000 loss_nats_per_target=5.7658 bpb=2.0531 grad_norm=0.8348 tokens_cum=4905600/120000000
update [400/7339] lr=0.00020000 loss_nats_per_target=5.4256 bpb=1.8874 grad_norm=0.9357 tokens_cum=6540800/120000000
update [500/7339] lr=0.00020000 loss_nats_per_target=5.0430 bpb=1.9078 grad_norm=0.8620 tokens_cum=8176000/120000000
update [600/7339] lr=0.00020000 loss_nats_per_target=4.7157 bpb=1.7574 grad_norm=0.9389 tokens_cum=9811200/120000000
update [700/7339] lr=0.00020000 loss_nats_per_target=4.3600 bpb=1.7150 grad_norm=1.0509 tokens_cum=11446400/120000000
update [800/7339] lr=0.00020000 loss_nats_per_target=4.2378 bpb=1.5051 grad_norm=0.9642 tokens_cum=13081600/120000000
update [900/7339] lr=0.00020000 loss_nats_per_target=4.0234 bpb=1.4543 grad_norm=0.9289 tokens_cum=14716800/120000000
update [1000/7339] lr=0.00020000 loss_nats_per_target=3.8098 bpb=1.4899 grad_norm=1.1234 tokens_cum=16352000/120000000
update [1100/7339] lr=0.00020000 loss_nats_per_target=3.4013 bpb=1.2070 grad_norm=0.8785 tokens_cum=17987200/120000000
update [1200/7339] lr=0.00020000 loss_nats_per_target=3.6021 bpb=1.3094 grad_norm=0.9887 tokens_cum=19622400/120000000
update [1300/7339] lr=0.00020000 loss_nats_per_target=3.4799 bpb=1.2022 grad_norm=0.8903 tokens_cum=21257600/120000000
update [1400/7339] lr=0.00020000 loss_nats_per_target=3.4220 bpb=1.3647 grad_norm=0.8783 tokens_cum=22892800/120000000
update [1500/7339] lr=0.00020000 loss_nats_per_target=3.2440 bpb=1.1697 grad_norm=0.8783 tokens_cum=24528000/120000000
update [1600/7339] lr=0.00020000 loss_nats_per_target=3.1164 bpb=1.2183 grad_norm=0.8593 tokens_cum=26163200/120000000
update [1700/7339] lr=0.00020000 loss_nats_per_target=3.2669 bpb=1.1964 grad_norm=0.8711 tokens_cum=27798400/120000000
update [1800/7339] lr=0.00020000 loss_nats_per_target=3.0609 bpb=1.0992 grad_norm=0.7898 tokens_cum=29433600/120000000
update [1900/7339] lr=0.00020000 loss_nats_per_target=3.0276 bpb=1.0791 grad_norm=0.8338 tokens_cum=31068800/120000000
update [2000/7339] lr=0.00020000 loss_nats_per_target=2.9359 bpb=1.0113 grad_norm=0.8301 tokens_cum=32704000/120000000
update [2100/7339] lr=0.00020000 loss_nats_per_target=3.0404 bpb=1.0630 grad_norm=0.8896 tokens_cum=34339200/120000000
update [2200/7339] lr=0.00020000 loss_nats_per_target=2.9362 bpb=1.1365 grad_norm=0.8214 tokens_cum=35974400/120000000
update [2300/7339] lr=0.00020000 loss_nats_per_target=3.0354 bpb=1.0887 grad_norm=0.8208 tokens_cum=37609600/120000000
update [2400/7339] lr=0.00020000 loss_nats_per_target=2.9528 bpb=1.1032 grad_norm=0.8067 tokens_cum=39244800/120000000
update [2500/7339] lr=0.00020000 loss_nats_per_target=2.8888 bpb=1.0280 grad_norm=0.8234 tokens_cum=40880000/120000000
update [2600/7339] lr=0.00020000 loss_nats_per_target=2.9035 bpb=0.9913 grad_norm=0.7889 tokens_cum=42515200/120000000
update [2700/7339] lr=0.00020000 loss_nats_per_target=2.9279 bpb=1.0626 grad_norm=0.8015 tokens_cum=44150400/120000000
update [2800/7339] lr=0.00020000 loss_nats_per_target=2.8730 bpb=1.1005 grad_norm=0.8047 tokens_cum=45785600/120000000
update [2900/7339] lr=0.00020000 loss_nats_per_target=2.8075 bpb=1.0237 grad_norm=0.7839 tokens_cum=47420800/120000000
update [3000/7339] lr=0.00020000 loss_nats_per_target=2.7768 bpb=0.9472 grad_norm=0.7900 tokens_cum=49056000/120000000
update [3100/7339] lr=0.00020000 loss_nats_per_target=2.7832 bpb=0.9849 grad_norm=0.7660 tokens_cum=50691200/120000000
update [3200/7339] lr=0.00020000 loss_nats_per_target=2.8765 bpb=1.0562 grad_norm=0.7599 tokens_cum=52326400/120000000
update [3300/7339] lr=0.00020000 loss_nats_per_target=2.7572 bpb=0.9675 grad_norm=0.7891 tokens_cum=53961600/120000000
update [3400/7339] lr=0.00020000 loss_nats_per_target=2.9585 bpb=1.1131 grad_norm=0.7701 tokens_cum=55596800/120000000
update [3500/7339] lr=0.00020000 loss_nats_per_target=2.8141 bpb=1.0817 grad_norm=2.3327 tokens_cum=57232000/120000000
update [3600/7339] lr=0.00020000 loss_nats_per_target=2.8731 bpb=1.0517 grad_norm=0.7606 tokens_cum=58867200/120000000
update [3700/7339] lr=0.00020000 loss_nats_per_target=2.7953 bpb=1.0896 grad_norm=1.0603 tokens_cum=60502400/120000000
update [3800/7339] lr=0.00020000 loss_nats_per_target=2.5000 bpb=0.8638 grad_norm=0.7822 tokens_cum=62137600/120000000
update [3900/7339] lr=0.00020000 loss_nats_per_target=2.7682 bpb=0.9050 grad_norm=0.7361 tokens_cum=63772800/120000000
update [4000/7339] lr=0.00020000 loss_nats_per_target=2.4719 bpb=0.8550 grad_norm=0.7181 tokens_cum=65408000/120000000
update [4100/7339] lr=0.00020000 loss_nats_per_target=2.7213 bpb=1.0054 grad_norm=0.7369 tokens_cum=67043200/120000000
update [4200/7339] lr=0.00020000 loss_nats_per_target=2.6387 bpb=0.9735 grad_norm=0.7540 tokens_cum=68678400/120000000
update [4300/7339] lr=0.00020000 loss_nats_per_target=2.6004 bpb=0.8980 grad_norm=0.7686 tokens_cum=70313600/120000000
update [4400/7339] lr=0.00020000 loss_nats_per_target=2.5812 bpb=0.9690 grad_norm=0.7480 tokens_cum=71948800/120000000
update [4500/7339] lr=0.00020000 loss_nats_per_target=2.7520 bpb=1.0162 grad_norm=0.7606 tokens_cum=73584000/120000000
update [4600/7339] lr=0.00020000 loss_nats_per_target=2.5056 bpb=0.9108 grad_norm=0.7250 tokens_cum=75219200/120000000
update [4700/7339] lr=0.00020000 loss_nats_per_target=2.7257 bpb=1.0144 grad_norm=0.7432 tokens_cum=76854400/120000000
update [4800/7339] lr=0.00020000 loss_nats_per_target=2.5896 bpb=0.9372 grad_norm=0.7637 tokens_cum=78489600/120000000
update [4900/7339] lr=0.00020000 loss_nats_per_target=2.4861 bpb=0.9644 grad_norm=0.7356 tokens_cum=80124800/120000000
update [5000/7339] lr=0.00020000 loss_nats_per_target=2.5004 bpb=0.9821 grad_norm=0.7436 tokens_cum=81760000/120000000
update [5100/7339] lr=0.00020000 loss_nats_per_target=2.3558 bpb=0.8980 grad_norm=0.7847 tokens_cum=83395200/120000000
update [5200/7339] lr=0.00020000 loss_nats_per_target=2.4822 bpb=0.8853 grad_norm=0.7104 tokens_cum=85030400/120000000
update [5300/7339] lr=0.00020000 loss_nats_per_target=2.5664 bpb=0.8802 grad_norm=0.7228 tokens_cum=86665600/120000000
update [5400/7339] lr=0.00020000 loss_nats_per_target=2.5928 bpb=0.9055 grad_norm=0.7166 tokens_cum=88300800/120000000
update [5500/7339] lr=0.00020000 loss_nats_per_target=2.5706 bpb=0.9965 grad_norm=0.7174 tokens_cum=89936000/120000000
update [5600/7339] lr=0.00020000 loss_nats_per_target=2.6505 bpb=1.0128 grad_norm=0.7150 tokens_cum=91571200/120000000
update [5700/7339] lr=0.00020000 loss_nats_per_target=2.4065 bpb=0.8830 grad_norm=0.7227 tokens_cum=93206400/120000000
update [5800/7339] lr=0.00020000 loss_nats_per_target=2.4183 bpb=0.9633 grad_norm=0.7286 tokens_cum=94841600/120000000
update [5900/7339] lr=0.00020000 loss_nats_per_target=2.5411 bpb=0.9029 grad_norm=0.7388 tokens_cum=96476800/120000000
update [6000/7339] lr=0.00020000 loss_nats_per_target=2.6486 bpb=1.0029 grad_norm=0.7348 tokens_cum=98112000/120000000
update [6100/7339] lr=0.00020000 loss_nats_per_target=2.5437 bpb=0.9087 grad_norm=0.7096 tokens_cum=99747200/120000000
update [6200/7339] lr=0.00020000 loss_nats_per_target=2.5411 bpb=0.9184 grad_norm=0.6868 tokens_cum=101382400/120000000
update [6300/7339] lr=0.00020000 loss_nats_per_target=2.4748 bpb=0.9089 grad_norm=0.7330 tokens_cum=103017600/120000000
update [6400/7339] lr=0.00020000 loss_nats_per_target=2.4367 bpb=0.8578 grad_norm=0.6936 tokens_cum=104652800/120000000
update [6500/7339] lr=0.00020000 loss_nats_per_target=2.5378 bpb=0.8802 grad_norm=0.6874 tokens_cum=106288000/120000000
update [6600/7339] lr=0.00020000 loss_nats_per_target=2.3348 bpb=0.7776 grad_norm=0.6879 tokens_cum=107923200/120000000
update [6700/7339] lr=0.00019294 loss_nats_per_target=2.6032 bpb=0.9193 grad_norm=0.6749 tokens_cum=109558400/120000000
update [6800/7339] lr=0.00017093 loss_nats_per_target=2.4809 bpb=0.9078 grad_norm=0.6849 tokens_cum=111193600/120000000
update [6900/7339] lr=0.00013788 loss_nats_per_target=2.5200 bpb=0.9348 grad_norm=0.6929 tokens_cum=112828800/120000000
update [7000/7339] lr=0.00009980 loss_nats_per_target=2.4069 bpb=0.8733 grad_norm=0.6607 tokens_cum=114464000/120000000
update [7100/7339] lr=0.00006356 loss_nats_per_target=2.3656 bpb=0.8412 grad_norm=0.6439 tokens_cum=116099200/120000000
update [7200/7339] lr=0.00003572 loss_nats_per_target=2.4258 bpb=0.9131 grad_norm=0.6695 tokens_cum=117734400/120000000
update [7300/7339] lr=0.00002132 loss_nats_per_target=2.3250 bpb=0.8667 grad_norm=0.6789 tokens_cum=119369600/120000000
update [7339/7339] lr=0.00002000 loss_nats_per_target=2.5767 bpb=0.9032 grad_norm=0.6808 tokens_cum=120007328/120000000
