precision: device_type=cpu requested_dtype=fp32 effective_dtype=float32
Model Params: 64.21M
Trainable Params: 64.205M
packed: /Users/leonskennedy/AI coding open/侧端大模型/lab/data/v3/packed_B n_seq=500251 seq_len=512 tokenizer_sha256=ff99beb3a8ea206d… doc_order_sha256=7d204f346dc15680…
packed run: total_updates=7339 tokens_per_update=16352 total_tokens_requested=120000000 schedule=wsd
update [100/7339] lr=0.00013699 loss_nats_per_target=7.7294 bpb=2.2960 grad_norm=0.6889 tokens_cum=1635200/120000000
update [200/7339] lr=0.00020000 loss_nats_per_target=6.8459 bpb=2.1322 grad_norm=0.9269 tokens_cum=3270400/120000000
update [300/7339] lr=0.00020000 loss_nats_per_target=6.4286 bpb=1.8031 grad_norm=0.8661 tokens_cum=4905600/120000000
update [400/7339] lr=0.00020000 loss_nats_per_target=6.0131 bpb=1.8287 grad_norm=0.8440 tokens_cum=6540800/120000000
update [500/7339] lr=0.00020000 loss_nats_per_target=5.7496 bpb=1.8417 grad_norm=0.8368 tokens_cum=8176000/120000000
update [600/7339] lr=0.00020000 loss_nats_per_target=5.4382 bpb=1.5805 grad_norm=0.7980 tokens_cum=9811200/120000000
update [700/7339] lr=0.00020000 loss_nats_per_target=5.3121 bpb=1.6618 grad_norm=0.8292 tokens_cum=11446400/120000000
update [800/7339] lr=0.00020000 loss_nats_per_target=4.9408 bpb=1.4828 grad_norm=1.0377 tokens_cum=13081600/120000000
update [900/7339] lr=0.00020000 loss_nats_per_target=4.7485 bpb=1.4557 grad_norm=0.8458 tokens_cum=14716800/120000000
update [1000/7339] lr=0.00020000 loss_nats_per_target=4.7851 bpb=1.4375 grad_norm=0.8806 tokens_cum=16352000/120000000
update [1100/7339] lr=0.00020000 loss_nats_per_target=4.5365 bpb=1.3358 grad_norm=0.8968 tokens_cum=17987200/120000000
update [1200/7339] lr=0.00020000 loss_nats_per_target=4.4634 bpb=1.3931 grad_norm=0.8405 tokens_cum=19622400/120000000
